case_number,date,time,offense_type,location,arrest_info,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-01413,4/11/2025,903,Stored vehicle (72 hour notice),.200 PALO ALTO AVE,,37.4479547,-122.16763379999999,"200 Palo Alto Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=11864884518236033858,street_address,street_address_or_premise
25-01414,4/11/2025,945,Theft of personal property - From building (M),339 UNIVERSITY AVE,,37.4465508,-122.1613223,"339 University Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=3559868893578607675,"subpremise,street_address",street_address_or_premise
25-01419,4/11/2025,1429,Burglary - Burglary/breaking and entering (F),491 JAMES RD,,37.413186599999996,-122.1239269,"491 James Rd, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=3906473867987171304,"premise,street_address",street_address_or_premise
25-01425,4/12/2025,153,Dui alcohol (M),LINCOLN AVE/UNIVERSITY AVE,"CALDERA SR, PEDRO FABIAN SANCHEZ (M/H/1996-01-22) SAN JOSE; 23152(A) VC; Booked",37.4555182,-122.14693390000001,"Lincoln Ave & University Ave, Palo Alto, CA 94301, USA","https://maps.google.com/?q=Lincoln+Ave+%26+University+Ave,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbb6b657c6b95:0x83fe0b2f4b118b31",intersection,intersection
25-01429,4/12/2025,1309,Theft of personal property - From building (M),892 LOMA VERDE AVE,,37.432894499999996,-122.11644700000001,"892 Loma Verde Ave, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=5643790808479608886,"premise,street_address",street_address_or_premise
25-01431,4/12/2025,1406,FOUND PROPERTY,774 EMERSON ST,,37.4424053,-122.15961469999999,"774 Emerson St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=706819191845704013,"premise,street_address",street_address_or_premise
25-01432,4/12/2025,1431,Petty theft - Shoplifting (M),180 EL CAMINO REAL,"LAWVER, DANIEL JOHN (M/W/1983-05-08) SAN JOSE; 11395(B)(1) HS, 484(A) PC; Booked",37.443646199999996,-122.16849889999997,"180 El Camino Real, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=10694182497936204464,street_address,street_address_or_premise
25-01434,4/12/2025,1801,Violate civil rights by force or threat of force - Intimidation (M),200 UNIVERSITY AVE,"MADDEN, LISA MARIE (F/W/1975-02-11) PALO ALTO; 978.5 PC, 422.6(A) PC, 242 PC, 415(3) PC; Booked",37.444702,-122.162411,"200 University Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=14195623155327218602,street_address,street_address_or_premise
25-01433,4/12/2025,1834,Burglary - Burglary/breaking and entering (F),1100 PAGE MILL RD,"FORSYTHE, GORDON LEE (M/W/1979-02-25) SAN JOSE; 459 PC, 666.1(A)(1) PC, 182(A)(1) PC, 148(A)(1) PC, 466 PC, Outside Warrant/F; Booked",37.4191687,-122.14758950000001,"1100 Page Mill Rd, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=5272520703963117068,street_address,street_address_or_premise
25-01433,4/12/2025,1834,Burglary - Burglary/breaking and entering (F),1100 PAGE MILL RD,"ELLISON, GARY EUGENE (M/W/1971-09-27) SAN JOSE; 459 PC, 666.1(A)(1) PC, 182(A)(1) PC, 148(A)(1) PC, 466 PC; Booked",37.4191687,-122.14758950000001,"1100 Page Mill Rd, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=5272520703963117068,street_address,street_address_or_premise
25-01437,4/13/2025,222,Burglary - Burglary/breaking and entering (F),3663 ARBUTUS AVE,"JACKSON, LAMONT LAREECE (M/B/1971-12-14) SAN FRANCISCO; 459 PC, 666.1(A)(1) PC, 466 PC, 185 PC; Booked",37.4268315,-122.1108198,"3663 Arbutus Ave, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=9988811010085596722,"premise,street_address",street_address_or_premise
25-01444,4/13/2025,1733,Suspicious Circumstances,EL CAMINO REAL,,37.4203243,-122.1366538,"El Camino Real, Palo Alto, CA, USA","https://maps.google.com/?q=El+Camino+Real,+Palo+Alto,+CA,+USA&ftid=0x808fcb0b782c489d:0x380db039ff6cae75",route,route
25-01448,4/13/2025,2246,Burglary - Burglary/breaking and entering (F),751 WAVERLEY ST,,37.4450723,-122.1566648,"751 Waverley St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=945877788237039784,"premise,street_address",street_address_or_premise
