case_number,date,time,offense_type,location,arrest_info,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-01170,3/23/2025,343,Vehicle Accident/Non Injury,ALMA ST/E MEADOW DR,,37.4177387,-122.1231867,"E Meadow Dr & Alma St, Palo Alto, CA 94306, USA","https://maps.google.com/?q=E+Meadow+Dr+%26+Alma+St,+Palo+Alto,+CA+94306,+USA&ftid=0x808fba640221cb6f:0x2726f775a2a810c4",intersection,intersection
25-01172,3/23/2025,1422,Grand theft:money/labor/property - Shoplifting (F),180 EL CAMINO REAL,,37.443646199999996,-122.16849889999997,"180 El Camino Real, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=10694182497936204464,street_address,street_address_or_premise
25-80208,3/23/2025,1632,Petty theft - From motor vehicle (M),267 CURTNER AVE,,37.4196984,-122.1294723,"267 Curtner Ave, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=840489834215323244,"premise,street_address",street_address_or_premise
25-80209,3/24/2025,841,Vandalism:deface property (F),1938 CHANNING AVE,,37.448360699999995,-122.12890259999999,"1938 Channing Ave, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=3294801778788542425,"premise,street_address",street_address_or_premise
25-01179,3/24/2025,1021,Suspicious Circumstances,4267 LOS PALOS AVE,,37.4051019,-122.12399239999999,"4267 Los Palos Ave, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=14843005653348966861,"premise,street_address",street_address_or_premise
25-01178,3/24/2025,1028,Mental Health Evaluation,EMBARCADERO RD,,37.4457301,-122.1306756,"Embarcadero Rd, Palo Alto, CA, USA",https://maps.google.com/?cid=13727010580694448510,route,route
25-01183,3/24/2025,1057,Suspicious Circumstances,940 OLD TRACE CT,,37.3937066,-122.1371672,"940 Old Trace Ct, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=1536716173632754008,"premise,street_address",street_address_or_premise
25-01184,3/24/2025,1457,Mental Health Evaluation,HAMILTON AVE,,37.4543279,-122.1469329,"Hamilton Ave, Palo Alto, CA, USA",https://maps.google.com/?cid=9026519809318710028,route,route
25-01188,3/24/2025,1842,Medical Assist,MIDDLEFIELD RD,,37.4483883,-122.1530899,"Middlefield Rd, Palo Alto, CA, USA","https://maps.google.com/?q=Middlefield+Rd,+Palo+Alto,+CA,+USA&ftid=0x808fa35b186a39fb:0x5984eee2a66a9cc2",route,route
25-01187,3/24/2025,1948,Assault w/deadly weapon:not f/arm - Aggravated (F),100 WAVERLEY OAKS,"LI, YUN (DOB: 1974-04-02, F, C, PALO ALTO) - Booked - 245(A)(1) PC",37.433490899999995,-122.14002119999999,"100 Waverley Oaks, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=2807708870634833879,"premise,street_address",street_address_or_premise
25-01189,3/24/2025,2039,Indecent exposure (M),.300 SHERMAN AVE,,37.426853699999995,-122.1429644,"300 Sherman Ave, Palo Alto, CA 94306, USA","https://maps.google.com/?q=300+Sherman+Ave,+Palo+Alto,+CA+94306,+USA&ftid=0x808fbae578cd98bd:0x77e7fe745e0d0383",street_address,street_address_or_premise
25-80212,3/24/2025,2127,Grand theft:money/labor/property - All other larceny (F),101 CALIFORNIA AVE,,37.4285802,-122.142713,"101 California Ave, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=2972138083190103366,"premise,street_address",street_address_or_premise
25-01190,3/24/2025,2133,Theft of personal property - All other larceny (M),1398 DANA AVE,,37.4533096,-122.14345390000001,"1398 Dana Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=3012582292705554380,"premise,street_address",street_address_or_premise
25-01191,3/24/2025,2305,Obtain money/etc by false pretenses [over $400] (F),330 VICTORIA PL,,37.4155124,-122.1243251,"330 Victoria Pl, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=889486047482251187,"premise,street_address",street_address_or_premise
25-01192,3/25/2025,754,Burglary:second degree - From motor vehicle (F),10 ROOSEVELT CIR,,37.4172485,-122.11962720000001,"10 Roosevelt Cir, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=2192602337882019096,"premise,street_address",street_address_or_premise
25-01204,3/25/2025,1953,Grand theft:money/labor/property - Shoplifting (F),180 EL CAMINO REAL,"CUEVAS, DIEGO (DOB: 2003-11-30, M, H, OAKLAND) - Booked - 487(A) PC",37.443646199999996,-122.16849889999997,"180 El Camino Real, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=10694182497936204464,street_address,street_address_or_premise
25-80211,3/25/2025,2252,Petty theft - All other larceny (M),101 CALIFORNIA AVE,,37.4285802,-122.142713,"101 California Ave, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=2972138083190103366,"premise,street_address",street_address_or_premise
25-01206,3/26/2025,307,Outside Warrant Arrest - Misdemeanor,670 SAN ANTONIO RD,"VEA, KRYSTLE ELINA (DOB: 1983-08-07, F, B, EAST PALO ALTO) - Cited - 978.5 PC, Outside Warrant/M",37.414488,-122.1034341,"670 San Antonio Rd, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=4359645663640018685,"premise,street_address",street_address_or_premise
25-01207,3/26/2025,728,Burglary - Burglary/breaking and entering (F),14 PHILLIPS RD,,37.4522633,-122.1356601,"14 Phillips Rd, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=7106878875624506477,"premise,street_address",street_address_or_premise
